id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39323,SCYB,small_airport,"Trilahue Airport",-37.117222,-72.41111,423,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,Yumbel,0,SCYB,,,,https://en.wikipedia.org/wiki/Yumbel_Trilahue_Airport,,50,2024-05-21T16:27:41+00:00
39327,SCZC,small_airport,"Casas Viejas Airport",-32.595276,-71.347221,262,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,Zapallar,0,SCZC,,,,https://en.wikipedia.org/wiki/Zapallar_Casas_Viejas_Airport,,50,2024-05-18T22:38:13+00:00
348526,CL-0013,small_airport,"Catapilco Airport",-32.563805,-71.287698,309,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,Zapallar,0,SCCP,,,,,,50,2021-10-09T19:04:28+00:00
39356,SHES,heliport,"Eso Heliport",-24.638334274291992,-70.38471984863281,7861,SA,Chile,CL,"Antofagasta Region",CL-AN,AN,Antofagasta,0,SHES,,,,,,25,2008-07-12T07:27:41+00:00
39371,SHHV,heliport,"Naval Heliport",-18.472200393676758,-70.32060241699219,12,SA,Chile,CL,"Arica and Parinacota Region",CL-AP,AP,Arica,0,SHHV,,,,,,25,2008-09-29T08:32:52+00:00
39387,SHOV,heliport,"Lo Ovalle Heliport",-33.250831604003906,-71.36833190917969,919,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,Casablanca,0,SHOV,,,,,,25,2008-07-12T07:28:10+00:00
39362,SHHC,heliport,"Hospital Clínico Regional de Concepción Heliport",-36.82083511352539,-73.03500366210938,151,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,Concepcion,0,SHHC,,,,,,25,2008-07-12T07:27:47+00:00
39409,SHTL,heliport,"Torre Ligure Helipad",-36.827656,-73.052527,182,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,Concepcion,0,SHTL,,,,,,25,2021-10-16T12:06:53+00:00
39345,SHCY,heliport,"Hospital de Coyhaique Heliport",-45.56888961791992,-72.07555389404297,915,SA,Chile,CL,"Aysén Region",CL-AI,AI,Coyhaique,0,SHCY,,,,,,25,2008-07-12T07:27:31+00:00
39333,SHAU,heliport,"La Aurora Heliport",-33.42527770996094,-71.02305603027344,696,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Curacavi,0,SHAU,,,,,,25,2008-07-12T07:27:20+00:00
39348,SHDO,heliport,"Valle Nevado Heliport",-33.363887786865234,-70.25166320800781,9858,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Farellones,0,SHDO,,,,,,25,2008-07-12T07:27:34+00:00
